----- TOKENS Y -----
Línea 1   Columna 1   | ESTRUCTURAS          | %estructuras
Línea 1   Columna 13  | NL                   | 

Línea 2   Columna 1   | ESTRUCTURA           | estructura
Línea 2   Columna 12  | ID                   | Persona
Línea 2   Columna 19  | DP                   | :
Línea 2   Columna 20  | NL                   | 
    
Línea 2   Columna 20  | null                 | <INDENTACION>
Línea 3   Columna 5   | ENTERO               | entero
Línea 3   Columna 12  | ID                   | edad
Línea 3   Columna 16  | NL                   | 
    
Línea 4   Columna 5   | CADENA               | cadena
Línea 4   Columna 12  | ID                   | nombre
Línea 4   Columna 18  | NL                   | 
    
Línea 5   Columna 5   | FLOTANTE             | flotante
Línea 5   Columna 14  | ID                   | promedio
Línea 5   Columna 22  | NL                   | 
    
Línea 6   Columna 5   | CARACTER             | caracter
Línea 6   Columna 14  | ID                   | inicial
Línea 6   Columna 21  | NL                   | 
    
Línea 7   Columna 5   | BOOL                 | bool
Línea 7   Columna 10  | ID                   | activo
Línea 7   Columna 16  | NL                   | 
    
Línea 8   Columna 5   | ENTERO               | entero
Línea 8   Columna 12  | ID                   | calificaciones
Línea 8   Columna 26  | CA                   | [
Línea 8   Columna 27  | NUMERO_ENTERO        | 5
Línea 8   Columna 28  | CC                   | ]
Línea 9   Columna 1   | NL                   | 

Línea 9   Columna 1   | null                 | <DESINDENTACION>
Línea 10  Columna 1   | ESTRUCTURA           | estructura
Línea 10  Columna 12  | ID                   | Curso
Línea 10  Columna 17  | DP                   | :
Línea 10  Columna 18  | NL                   | 
    
Línea 10  Columna 18  | null                 | <INDENTACION>
Línea 11  Columna 5   | CADENA               | cadena
Línea 11  Columna 12  | ID                   | titulo
Línea 11  Columna 18  | NL                   | 
    
Línea 12  Columna 5   | ENTERO               | entero
Línea 12  Columna 12  | ID                   | creditos
Línea 12  Columna 20  | NL                   | 
    
Línea 13  Columna 5   | ID                   | Persona
Línea 13  Columna 13  | ID                   | instructor
Línea 14  Columna 1   | NL                   | 

Línea 14  Columna 1   | null                 | <DESINDENTACION>
Línea 15  Columna 1   | ESTRUCTURA           | estructura
Línea 15  Columna 12  | ID                   | Punto
Línea 15  Columna 17  | DP                   | :
Línea 15  Columna 18  | NL                   | 
    
Línea 15  Columna 18  | null                 | <INDENTACION>
Línea 16  Columna 5   | ENTERO               | entero
Línea 16  Columna 12  | ID                   | x
Línea 16  Columna 13  | NL                   | 
    
Línea 17  Columna 5   | ENTERO               | entero
Línea 17  Columna 12  | ID                   | y
Línea 18  Columna 1   | NL                   | 

Línea 18  Columna 1   | null                 | <DESINDENTACION>
Línea 19  Columna 1   | ESTRUCTURA           | estructura
Línea 19  Columna 12  | ID                   | Local
Línea 19  Columna 17  | DP                   | :
Línea 19  Columna 18  | NL                   | 
    
Línea 19  Columna 18  | null                 | <INDENTACION>
Línea 20  Columna 5   | ENTERO               | entero
Línea 20  Columna 12  | ID                   | valor
Línea 21  Columna 1   | NL                   | 

Línea 21  Columna 1   | null                 | <DESINDENTACION>
Línea 22  Columna 1   | FUNCIONES            | %funciones
Línea 22  Columna 11  | NL                   | 

Línea 23  Columna 1   | DEFINIR              | definir
Línea 23  Columna 9   | ID                   | sumar
Línea 23  Columna 14  | PAREN_A              | (
Línea 23  Columna 15  | ENTERO               | entero
Línea 23  Columna 22  | ID                   | a
Línea 23  Columna 23  | COMA                 | ,
Línea 23  Columna 25  | ENTERO               | entero
Línea 23  Columna 32  | ID                   | b
Línea 23  Columna 33  | PAREN_C              | )
Línea 23  Columna 35  | MENOS                | -
Línea 23  Columna 36  | MAYOR_QUE            | >
Línea 23  Columna 38  | ENTERO               | entero
Línea 23  Columna 44  | DP                   | :
Línea 23  Columna 45  | NL                   | 
    
Línea 23  Columna 45  | null                 | <INDENTACION>
Línea 24  Columna 5   | ENTERO               | entero
Línea 24  Columna 12  | ID                   | resultado
Línea 24  Columna 21  | NL                   | 
    
Línea 25  Columna 5   | ID                   | resultado
Línea 25  Columna 15  | ASIG                 | =
Línea 25  Columna 17  | ID                   | a
Línea 25  Columna 19  | MAS                  | +
Línea 25  Columna 21  | ID                   | b
Línea 25  Columna 22  | NL                   | 
    
Línea 26  Columna 5   | RETORNAR             | retornar
